CUSTOMER_ID,HIGHEST_SPENT,PRODUCT_ID,INSURANCE_NAME,PROCESSING_FEES,COVERAGE_LIMIT,ANNUAL_FEE,ELIGIBLE_LIMIT
PNC31d3482a-ba31-42c4-aa7a-27b9d35c3,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC28078b5c-7d7e-4d5d-852d-743557151,Health care,4,Criti Care Insurance,0,30000,600,18
PNCea940b80-c329-4151-840a-25e1b1152,Travel,1,Annual Trip Insurance,7,1250,145,100
PNC1031148a-9223-4144-bc99-2000bfdac,Health care,4,Criti Care Insurance,0,30000,600,18
PNC60f353b5-5c34-459f-8766-956fe378b,Health care,6,Figma Preventive Care,0,10000,450,0
PNCfe75c20e-ce6f-4620-a0ac-01be0f821,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC67268f0e-a2f2-415a-9e6a-76d154e6e,Groceries,7,Sigma HealthCare,0,5000,100,18
PNCdac2fc62-c7e2-4ae2-b0df-1f5ad377e,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC6a1a646d-b900-4dfb-a0fe-570d19506,Health care,5,Family Care Insurance,0,50000,2400,21
PNCdaab7cf7-e03c-49c4-b885-b1df1ed06,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC0230cc1f-ee96-430e-9442-7e9080b1b,Health care,6,Figma Preventive Care,0,10000,450,0
PNC4110f470-82fa-492d-9c98-99513610c,Dinning,7,Sigma HealthCare,0,5000,100,18
PNCb57341c8-50b0-49f5-945e-6d8b64de4,Health care,5,Family Care Insurance,0,50000,2400,21
PNCe7ef9018-f883-462d-8001-b7c708500,Health care,4,Criti Care Insurance,0,30000,600,18
PNCc0f7a554-08cd-4ee3-bc87-45d31f3d0,Groceries,7,Sigma HealthCare,0,5000,100,18
PNCc9862e2e-22ac-47ac-bfca-0eef78950,Health care,5,Family Care Insurance,0,50000,2400,21
PNC7c4a3b07-511a-4f48-9849-4cad3d230,Dinning,7,Sigma HealthCare,0,5000,100,18
PNCd13e3fee-19b5-451b-829c-14932231d,Health care,4,Criti Care Insurance,0,30000,600,18
PNCd4c49623-b16d-480d-8d73-eb19b9341,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC14c1f06a-820b-4a81-8354-629c7be03,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC1cb8a0c8-f6b9-4518-8d1d-6fef27b53,Health care,4,Criti Care Insurance,0,30000,600,18
PNC041a694e-03ac-493c-a2cf-c68290941,Health care,6,Figma Preventive Care,0,10000,450,0
PNC977f5a95-79cf-401c-b4a1-cadde06f0,Health care,6,Figma Preventive Care,0,10000,450,0
PNC8c00ab1b-1872-452d-b5aa-3dcf8c3f4,Health care,6,Figma Preventive Care,0,10000,450,0
PNCaf2f8792-a96d-47fe-8298-8608eb6f7,Groceries,7,Sigma HealthCare,0,5000,100,18
PNCd31716fa-153d-4b8a-97ac-9fc6c2fd8,Health care,6,Figma Preventive Care,0,10000,450,0
PNCb505f5be-efb4-4b1d-9328-9e6083e6f,Health care,4,Criti Care Insurance,0,30000,600,18
PNCd1e0574a-0fdd-46e3-bfcc-5929b0c96,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC4a9f0f20-6bf2-4d3d-a3ad-cfeb8af48,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCc1b7a5f1-b302-4f78-9e68-6c71913e3,Health care,4,Criti Care Insurance,0,30000,600,18
PNC9eedd631-c957-40ab-9690-4f8b2220a,Health care,4,Criti Care Insurance,0,30000,600,18
PNC1413055e-eb0c-46d5-a923-ed321a57f,Health care,5,Family Care Insurance,0,50000,2400,21
PNC8464ceec-36e8-4dd4-a2da-c3571f27e,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC33c784f5-8abe-43ae-bcbc-3fd9af64a,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCd21a718b-26bb-4d75-92fb-4d48a3217,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC23b6b8f6-5025-433a-ba34-c11b57620,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNCf178505b-5484-4a70-bee3-d5a04f2b5,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC3d80450a-0d17-49c8-ba88-4c53df21d,Health care,5,Family Care Insurance,0,50000,2400,21
PNC68b4c392-dcc0-440c-8b7e-9e27f8618,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCbc4fa83a-4399-459d-a7eb-9fbbb5ba1,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC2ef92ae4-94c1-4d83-98a9-56b04b6fd,Health care,6,Figma Preventive Care,0,10000,450,0
PNCe7364c52-92cd-45bd-86d6-56bcff100,Health care,5,Family Care Insurance,0,50000,2400,21
PNC90e3ecb5-1709-47bf-a77f-503cccba5,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC3fcb1200-b9c9-4072-a7f7-b5824cd19,Health care,4,Criti Care Insurance,0,30000,600,18
PNC32c2fe0f-6408-47e7-b443-5c86c2ec9,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNC2b26f695-e7ca-45ab-870d-47e4fb26c,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC565239ca-c9f2-40bf-a2e1-c05867d06,Health care,5,Family Care Insurance,0,50000,2400,21
PNCc3712ae8-8c20-40f6-8bb6-bbc1c4b2a,Health care,4,Criti Care Insurance,0,30000,600,18
PNCcb799eb4-5f3f-4333-9365-b8a52f692,Health care,6,Figma Preventive Care,0,10000,450,0
PNC4c9d1f87-5209-44a4-b7d5-5818b62ea,Health care,5,Family Care Insurance,0,50000,2400,21
PNC390b9bd8-069d-46aa-bce3-2a6f9b1c8,Health care,5,Family Care Insurance,0,50000,2400,21
PNCdaffa159-31f5-4939-a377-bd4d63baf,Groceries,7,Sigma HealthCare,0,5000,100,18
PNCa9f915ed-954c-417c-9bb2-54bf14280,Dinning,7,Sigma HealthCare,0,5000,100,18
PNC14bf19b2-1605-452a-a3cf-22b25df74,Health care,4,Criti Care Insurance,0,30000,600,18
PNC00496c7f-358f-44b9-95c2-940cdd08a,Health care,5,Family Care Insurance,0,50000,2400,21
PNCd8d9e910-cc23-45d7-8bf5-ca05ab6c9,Health care,6,Figma Preventive Care,0,10000,450,0
PNC309d5994-0866-4f43-8ed5-e07674575,Health care,6,Figma Preventive Care,0,10000,450,0
PNC96e6b4a3-c104-48e5-92ff-405a3a3da,Health care,6,Figma Preventive Care,0,10000,450,0
PNC3681f774-55c9-4b81-967e-6c7de671b,Entertainment,7,Sigma HealthCare,0,5000,100,18
PNCbe7ed4ce-120b-4535-902b-9a17f629e,Health care,4,Criti Care Insurance,0,30000,600,18
PNC101bcd86-1552-4ed3-bb05-a4f9d6b3d,Health care,4,Criti Care Insurance,0,30000,600,18
PNCc3a8afc9-c3c9-4e85-a451-5f07fa076,Health care,6,Figma Preventive Care,0,10000,450,0
PNC5e78b24a-7328-465d-991d-b295a1e0e,Health care,6,Figma Preventive Care,0,10000,450,0
PNCca815bc8-3cee-4e3b-9f00-042277846,Health care,6,Figma Preventive Care,0,10000,450,0
PNC4775ea95-a981-41bd-8479-b091c6420,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCac79a28a-8e1f-4425-be7d-9e4328ca9,Health care,4,Criti Care Insurance,0,30000,600,18
PNC0ea77b6a-e86b-410e-99ad-1126718a9,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCf7fa0a0b-52de-4ee8-85c4-83db6998b,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC4fcf5e20-2406-44ff-961f-94b017e4e,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC9a3f2630-1058-4b65-8ab2-ce4a7a47f,Dinning,7,Sigma HealthCare,0,5000,100,18
PNCefe0c3ea-9e85-45a8-88e9-1e0a637fc,Health care,5,Family Care Insurance,0,50000,2400,21
PNCe2a75bcf-128b-4815-8c10-713f5ca64,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC24c44abb-3e51-4b30-9819-67210ae3e,Health care,6,Figma Preventive Care,0,10000,450,0
PNC96c0c7b2-91e4-45c7-ba14-775bfdbb5,Health care,6,Figma Preventive Care,0,10000,450,0
PNC197ff6b3-074d-4cb7-a78f-a6a073e78,Health care,5,Family Care Insurance,0,50000,2400,21
PNC05aaa2fc-aae8-481c-a4ac-aa16029d1,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNCd48de1a8-08aa-4dca-a1a8-3616c5bc0,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNC62ef0af6-8546-4667-a19e-d516574a3,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNCbc14e524-d8ee-4138-8eb8-bef3f3a94,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNCabb2cb55-af18-436a-ae25-5607edf4c,Health care,6,Figma Preventive Care,0,10000,450,0
PNC7722b366-f116-42b7-bb0b-7766c992f,Health care,6,Figma Preventive Care,0,10000,450,0
PNCff6f9375-5dc3-402e-8750-aeafd0035,Dinning,7,Sigma HealthCare,0,5000,100,18
PNC42f2901b-10cd-4653-a48c-69265e23c,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCf3935fd6-f933-4a12-9eb9-5e38ad3ec,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC96767a37-753d-4e29-880c-7d52f791b,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC833ccd0a-12ee-466d-bd6f-a8e03d748,Health care,5,Family Care Insurance,0,50000,2400,21
PNC867487a1-6afa-4685-8eb9-50ff221c8,Health care,4,Criti Care Insurance,0,30000,600,18
PNC835b362d-16da-4d5a-9dce-0e5c15807,Health care,6,Figma Preventive Care,0,10000,450,0
PNCc07dfa34-693a-4a62-8e3c-0a52de964,Groceries,7,Sigma HealthCare,0,5000,100,18
PNCfaa047b4-e641-4d17-b763-234c43a7e,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC3a84abdd-19d8-4fd7-9d20-b56c0199a,Luxury Shopping,7,Sigma HealthCare,0,5000,100,18
PNC8f4f769d-1155-4dd9-a027-9dc2a5001,Luxury Shopping,7,Sigma HealthCare,0,5000,100,18
PNC7a4369d6-cf3c-4a55-82d5-167e227d9,Luxury Shopping,7,Sigma HealthCare,0,5000,100,18
PNCf696e103-9704-42bd-9218-74fb46e28,Dinning,7,Sigma HealthCare,0,5000,100,18
PNC1e9dd68a-05d7-4f3b-b191-6a4ba58b8,Health care,6,Figma Preventive Care,0,10000,450,0
PNCb9685764-327e-4aab-aac6-ef75730e2,Health care,6,Figma Preventive Care,0,10000,450,0
PNCac13e6ea-0ec1-48bc-a7f2-5f0720c62,Health care,5,Family Care Insurance,0,50000,2400,21
PNCab6d32de-38c4-414a-bb34-5eb061a07,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC1ac7a229-ab6e-4841-9307-8384c9c05,Health care,5,Family Care Insurance,0,50000,2400,21
PNC77c2b0a5-4a7c-47db-a3ac-c6fcf9bd4,Health care,6,Figma Preventive Care,0,10000,450,0
PNC2ddb2273-204c-4c03-88ed-e699cbc7c,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC3d628d5b-3caf-40c3-8ab1-a11c8e5c8,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNCe1ffb8d2-7478-461a-8a41-7947f17af,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC3162fbc9-dde9-45fe-99eb-eb9c6a2a9,Health care,4,Criti Care Insurance,0,30000,600,18
PNCb704de52-ccca-49e1-9dee-485009fbf,Health care,6,Figma Preventive Care,0,10000,450,0
PNC83382d5f-880a-47f1-8429-9172952f2,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC0a2c1a6b-75f5-4303-9619-46ca9d58f,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC92604a43-3d19-4ebd-8270-6c59d5568,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNCfbe25935-0c94-4461-86a2-724ccb99b,Health care,4,Criti Care Insurance,0,30000,600,18
PNCf834c41f-ad5b-4d93-88c5-5bc2b1403,Health care,6,Figma Preventive Care,0,10000,450,0
PNC11efb0e2-a85e-4259-8383-bcbc86181,Dinning,7,Sigma HealthCare,0,5000,100,18
PNC59378f28-1597-4fa8-bfdc-347637bc0,Dinning,7,Sigma HealthCare,0,5000,100,18
PNC2027e388-f47b-4979-84a4-2f8030b50,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCb862d4fd-780f-4386-b5b6-f4abdeaa9,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNCb5edb200-34be-4eb0-998e-a51b3e3e4,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNC7b7febe2-bbc4-4165-ac22-6216d29d0,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC49d917db-a2d5-40a5-9169-e20eb53bd,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC0a0a6d53-ba4d-4d11-840e-684fddde5,Health care,6,Figma Preventive Care,0,10000,450,0
PNC393ac5bf-113c-4482-8e79-4f920b029,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNC0b2a8608-1676-44f8-bcab-37f5e008c,Health care,5,Family Care Insurance,0,50000,2400,21
PNCcf25d293-4d6b-473a-af8e-645b23582,Bills and Utilities,7,Sigma HealthCare,0,5000,100,18
PNC56fb1da3-fcfe-42ca-a7fa-57a22e002,Health care,4,Criti Care Insurance,0,30000,600,18
PNCfe09d24c-dac1-4bcd-8696-39c14cbee,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCf2d2d3c0-6959-45f8-8796-8e32401eb,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC6a833146-5902-41ac-8274-5e4cf83c8,Fuel,7,Sigma HealthCare,0,5000,100,18
PNC8e274602-e0fe-4f21-aa37-d9e3d5676,Health care,6,Figma Preventive Care,0,10000,450,0
PNC0c2e4524-3682-4553-b7f9-46d561116,Health care,6,Figma Preventive Care,0,10000,450,0
PNCda0243ef-619f-43a2-b4bf-d60d14c34,Health care,4,Criti Care Insurance,0,30000,600,18
PNC561ab2ff-0276-4fb5-983c-90fce1687,Health care,5,Family Care Insurance,0,50000,2400,21
PNCc422d3d1-816f-45d5-acc3-55adc2896,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC086dc1c4-4595-46ce-948e-5f761b96a,Groceries,7,Sigma HealthCare,0,5000,100,18
PNC6f07cc49-a3a4-452f-842a-959ba7876,Fuel,7,Sigma HealthCare,0,5000,100,18
PNCaa5903a7-cc91-4d00-92bb-e7e8b00ab,Entertainment,7,Sigma HealthCare,0,5000,100,18
PNC740ecac7-8f85-481d-a874-c77eacc28,Luxury Shopping,7,Sigma HealthCare,0,5000,100,18
PNC442405b6-7e46-4b59-894d-953f1d1e9,Health care,5,Family Care Insurance,0,50000,2400,21
PNCc7c606e9-4852-4a0d-b74f-c15774b78,Health care,6,Figma Preventive Care,0,10000,450,0
PNC1b1c4011-4f3f-40b0-b370-80ee8b6f2,Cash Transactions,7,Sigma HealthCare,0,5000,100,18
PNC1d79fc60-11bb-41c4-93b2-dfc151406,Health care,6,Figma Preventive Care,0,10000,450,0
PNC2d614588-effa-4b3c-9efc-a04990e67,Health care,4,Criti Care Insurance,0,30000,600,18
PNCab0ca585-5b68-4ffc-9bf8-44be2e236,Entertainment,7,Sigma HealthCare,0,5000,100,18
PNC25ddf8da-250c-4f97-85ee-cca766576,Health care,5,Family Care Insurance,0,50000,2400,21
